workload,variant,block,order,phase,repetition,elapsedMs,httpStatus,resultIntegrityValid,executionEligible,actualPointCount,functionalValid,gateSignature,jvmPid,timestamp
s1,B,2,1,measured,5,2398.403,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,22596,2026-08-31T04:02:22.378919+00:00
s1,B,2,1,measured,6,2608.1753,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,22596,2026-08-31T04:02:24.777807+00:00
s1,B,2,1,measured,7,2410.1678,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,22596,2026-08-31T04:02:27.386230+00:00
s1,B,2,1,measured,8,2300.2349,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,22596,2026-08-31T04:02:29.796242+00:00
s1,B,2,1,measured,9,2292.5876,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,22596,2026-08-31T04:02:32.096818+00:00
s1,B,2,1,measured,10,2430.4862,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,22596,2026-08-31T04:02:34.390018+00:00
s1,A,2,2,warmup,1,2627.0864,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:02:45.693798+00:00
s1,A,2,2,warmup,2,2544.3701,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:02:48.321544+00:00
s1,A,2,2,warmup,3,2274.0735,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:02:50.865706+00:00
s1,A,2,2,measured,1,2081.4871,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:02:53.140518+00:00
s1,A,2,2,measured,2,2354.13,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:02:55.221805+00:00
s1,A,2,2,measured,3,2291.2981,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:02:57.576450+00:00
s1,A,2,2,measured,4,2263.566,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:02:59.868083+00:00
s1,A,2,2,measured,5,2188.4095,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:03:02.131021+00:00
s1,A,2,2,measured,6,2388.1694,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:03:04.319675+00:00
s1,A,2,2,measured,7,2397.8462,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:03:06.708384+00:00
s1,A,2,2,measured,8,2199.1856,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:03:09.106252+00:00
s1,A,2,2,measured,9,2118.7587,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:03:11.305203+00:00
s1,A,2,2,measured,10,2040.9735,200,True,True,4960,True,16e06a715d783c320d251cd89c1ea192f262a59536abd3224f848fa213e601fe,45268,2026-08-31T04:03:13.424861+00:00
