operation,phase,repetition,status,elapsedMs,scale,targetCount,startedAt,finishedAt,errorType,error
series-full-batch,warmup,4,completed,3701.5009,S2,1240,2026-08-30T17:12:01.965056+00:00,2026-08-30T17:12:05.694791+00:00,,
series-full-batch,warmup,5,completed,3812.2687,S2,1240,2026-08-30T17:12:05.696790+00:00,2026-08-30T17:12:09.539433+00:00,,
series-full-batch,measured,1,completed,3760.6234,S2,1240,2026-08-30T17:12:09.541521+00:00,2026-08-30T17:12:13.326499+00:00,,
series-full-batch,measured,2,completed,3394.4295,S2,1240,2026-08-30T17:12:13.328555+00:00,2026-08-30T17:12:16.748315+00:00,,
series-full-batch,measured,3,completed,3763.9138,S2,1240,2026-08-30T17:12:16.749204+00:00,2026-08-30T17:12:20.539079+00:00,,
series-full-batch,measured,4,completed,3598.3908,S2,1240,2026-08-30T17:12:20.541090+00:00,2026-08-30T17:12:24.168836+00:00,,
series-full-batch,measured,5,completed,3532.773,S2,1240,2026-08-30T17:12:24.170824+00:00,2026-08-30T17:12:27.726932+00:00,,
series-full-batch,measured,6,completed,3786.3566,S2,1240,2026-08-30T17:12:27.728930+00:00,2026-08-30T17:12:31.544656+00:00,,
series-full-batch,measured,7,completed,3570.6072,S2,1240,2026-08-30T17:12:31.546656+00:00,2026-08-30T17:12:35.141136+00:00,,
series-full-batch,measured,8,completed,3637.657,S2,1240,2026-08-30T17:12:35.143163+00:00,2026-08-30T17:12:38.804198+00:00,,
series-full-batch,measured,9,completed,3868.8518,S2,1240,2026-08-30T17:12:38.806194+00:00,2026-08-30T17:12:42.701829+00:00,,
series-full-batch,measured,10,completed,3720.9116,S2,1240,2026-08-30T17:12:42.747457+00:00,2026-08-30T17:12:46.498028+00:00,,
series-full-batch,measured,11,completed,3529.6684,S2,1240,2026-08-30T17:12:46.499693+00:00,2026-08-30T17:12:50.053999+00:00,,
series-full-batch,measured,12,completed,3674.6528,S2,1240,2026-08-30T17:12:50.055929+00:00,2026-08-30T17:12:53.758606+00:00,,
series-full-batch,measured,13,completed,3700.9099,S2,1240,2026-08-30T17:12:53.761884+00:00,2026-08-30T17:12:57.487346+00:00,,
series-full-batch,measured,14,completed,3521.4298,S2,1240,2026-08-30T17:12:57.489345+00:00,2026-08-30T17:13:01.034781+00:00,,
series-full-batch,measured,15,completed,3812.4811,S2,1240,2026-08-30T17:13:01.036774+00:00,2026-08-30T17:13:04.873497+00:00,,
series-full-batch,measured,16,completed,3694.3951,S2,1240,2026-08-30T17:13:04.875495+00:00,2026-08-30T17:13:08.593849+00:00,,
series-full-batch,measured,17,completed,3632.6613,S2,1240,2026-08-30T17:13:08.595850+00:00,2026-08-30T17:13:12.250838+00:00,,
series-full-batch,measured,18,completed,3770.2767,S2,1240,2026-08-30T17:13:12.253462+00:00,2026-08-30T17:13:16.047196+00:00,,
